profesor,PAO,Aignatura,inscritos,reprobado,preferencia,nPreferencia,nCiclosDictando,nAsignaturasPAO,dedicacion,Relacion
1,1,0,44,21,1,1,1,2,0,0
2,1,0,41,27,1,1,1,3,0,0
3,1,0,46,14,1,1,2,2,0,0
4,1,0,38,23,1,1,1,4,0,0
5,1,0,36,17,1,1,2,3,0,0
6,1,1,15,5,0,1,1,2,0,1
7,1,0,42,15,1,1,1,3,0,0
8,2,0,50,30,1,2,2,2,0,0
2,2,0,141,46,1,1,3,3,0,0
4,2,0,53,33,1,1,2,3,0,0
6,2,1,36,9,0,1,2,3,0,1
3,2,0,55,24,1,1,3,2,0,0
5,2,0,51,14,1,1,3,4,0,0
7,2,0,57,20,1,1,2,3,0,0
2,3,0,73,36,1,1,4,2,0,0
3,3,0,33,12,1,1,4,2,0,0
4,3,0,23,17,1,1,2,3,0,0
7,3,0,37,9,1,1,3,2,0,0
9,3,0,38,18,1,2,1,4,0,1
10,3,1,47,3,0,2,1,3,1,0
11,4,1,26,0,0,4,1,3,1,0
9,4,1,31,0,0,4,1,4,0,0
9,4,0,30,16,1,3,2,4,0,1
2,4,0,62,27,1,1,5,2,0,0
4,4,0,28,9,0,4,3,2,0,0
12,4,0,27,12,1,1,1,3,0,0
7,4,0,56,22,1,1,4,2,0,0
