ESTUDIANTES,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,PROMANIO,grado,aniolec,powtoon
E1,8.00,7.66,8.00,7.88,6.30,10.00,2.00,8.30,8.00,7.00,7.66,7.55,6.04,8.00,1.60,7.64,7.97,4,2019,0
E2,9.33,9.00,9.33,9.22,7.37,10.00,2.00,9.37,8.33,8.00,8.33,8.22,6.57,8.00,1.60,8.17,8.77,4,2019,0
E3,7.00,7.00,7.00,7.00,5.60,7.00,1.40,7.00,7.00,7.00,7.00,7.00,5.60,7.00,1.40,7.00,7.00,4,2019,0
E4,8.33,8.33,8.00,8.22,6.57,8.00,1.60,8.17,7.50,7.33,7.00,7.27,5.81,7.00,1.40,7.21,7.69,4,2019,0
E5,7.33,7.66,7.33,7.44,5.95,8.00,1.60,7.55,7.83,8.00,7.33,7.72,6.17,8.00,1.60,7.77,7.66,4,2019,0
E6,7.66,8.50,8.00,8.05,6.44,9.00,1.80,8.24,7.66,8.00,8.33,7.99,6.39,10.00,2.00,8.39,7.83,6,2019,0
E7,7.33,7.66,7.66,7.55,6.04,7.50,1.50,7.54,7.00,7.66,8.33,7.66,6.12,10.00,2.00,8.12,9.19,6,2019,0
E8,8.67,9.00,9.33,9.00,7.20,10.00,2.00,9.20,8.66,9.00,9.33,8.99,7.19,10.00,2.00,9.19,8.37,6,2019,0
E9,8.66,8.33,8.00,8.33,6.66,10.00,2.00,8.66,8.00,8.33,8.00,8.11,6.48,8.00,1.60,8.08,8.54,6,2019,0
E10,8.33,9.00,8.66,8.66,6.92,10.00,2.00,8.92,8.00,8.66,8.00,8.22,6.57,8.00,1.60,8.17,8.03,6,2019,0
E11,7.66,8.33,7.50,7.83,6.26,9.00,1.80,8.06,7.66,8.00,7.66,7.77,6.21,9.00,1.80,8.01,8.27,6,2019,0
E12,7.66,7.66,7.50,7.60,6.08,9.00,1.80,7.88,8.00,8.33,8.66,8.33,6.66,10.00,2.00,8.66,8.36,6,2019,0
E13,7.66,7.66,7.83,7.71,6.16,9.00,1.80,7.96,7.83,7.33,8.00,7.72,6.17,8.00,1.60,7.77,7.86,7,2019,0
E14,8.16,8.66,8.33,8.38,6.70,10.00,2.00,8.70,8.00,8.33,8.33,8.22,6.57,8.00,1.60,8.17,8.43,7,2019,0
E15,7.33,7.66,7.50,7.49,5.99,9.00,1.80,7.79,7.50,7.16,7.50,7.38,5.90,7.00,1.40,7.30,7.54,7,2019,0
E16,8.66,9.00,8.67,8.77,7.01,10.00,2.00,9.01,9.00,9.00,9.00,9.00,7.20,9.00,1.80,9.00,9.00,7,2019,0
E17,7.66,7.66,7.50,7.60,6.08,7.00,1.40,7.48,7.00,7.66,7.50,7.38,5.90,7.50,1.50,7.40,7.44,7,2019,0
E18,9.00,9.60,,9.30,7.44,9.60,1.92,9.36,9.00,9.00,,9.00,7.20,9.00,1.80,9.00,9.18,4,2020,1
E19,9.80,9.80,,9.80,7.84,9.80,1.96,9.80,9.80,9.80,,9.80,7.84,9.80,1.96,9.80,9.80,4,2020,1
E1,7.50,7.50,,7.50,6.00,7.50,1.50,7.50,7.56,7.45,,7.50,6.00,7.00,1.40,7.40,7.45,5,2020,1
E2,8.50,9.00,,8.75,7.00,9.00,1.80,8.80,8.33,9.00,,8.66,6.92,8.00,1.60,8.52,8.66,5,2020,1
E3,7.50,7.50,,7.50,6.00,7.50,1.50,7.50,6.86,7.25,,7.05,5.64,7.00,1.40,7.04,7.27,5,2020,1
E4,7.50,7.50,,7.50,6.00,8.00,1.60,7.60,8.25,8.98,,8.61,6.88,9.00,1.80,8.68,8.14,5,2020,1
E5,7.50,8.00,,7.75,6.20,8.00,1.60,7.80,7.92,7.88,,7.90,6.32,7.00,1.40,7.72,7.76,5,2020,1
E20,7.50,7.50,,7.50,6.00,7.00,1.40,7.40,7.58,7.88,,7.73,6.18,7.00,1.40,7.58,7.49,5,2020,1
E6,8.25,8.25,,8.25,6.60,8.25,1.65,8.25,9.46,8.75,,9.10,7.28,8.00,1.60,8.88,8.56,7,2020,1
E7,8.00,8.00,,8.00,6.40,8.00,1.60,8.00,8.00,7.50,,7.75,6.20,7.00,1.40,7.60,7.80,7,2020,1
E8,8.25,8.25,,8.25,6.60,8.25,1.65,8.25,9.45,9.00,,9.22,7.37,8.00,1.60,8.97,8.61,7,2020,1
E21,9.00,9.00,,9.00,7.20,9.00,1.80,9.00,10.00,10.00,,10.00,8.00,8.00,1.60,9.60,9.30,7,2020,1
E9,8.00,8.00,,8.00,6.40,8.00,1.60,8.00,9.67,9.50,,9.58,7.66,8.00,1.60,9.26,8.63,7,2020,1
E10,8.25,8.25,,8.25,6.60,8.25,1.65,8.25,8.92,8.25,,8.58,6.86,8.00,1.60,8.46,8.35,7,2020,1
E11,7.75,7.75,,7.75,6.20,7.75,1.55,7.75,7.92,7.25,,7.58,6.06,7.00,1.40,7.46,7.60,7,2020,1
E12,7.75,7.75,,7.75,6.20,7.75,1.55,7.75,9.06,8.50,,8.78,7.02,8.00,1.60,8.62,8.18,7,2020,1
