ESTUDIANTES,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,PROMANIO,grado,aniolec,powtoon,genero
E1,8,7.66,8,7.88,6.3,10,2,8.3,8,7,7.66,7.55,6.04,8,1.6,7.64,7.97,4,2019,0,1
E2,9.33,9,9.33,9.22,7.37,10,2,9.37,8.33,8,8.33,8.22,6.57,8,1.6,8.17,8.77,4,2019,0,1
E3,7,7,7,7,5.6,7,1.4,7,7,7,7,7,5.6,7,1.4,7,7,4,2019,0,0
E4,8.33,8.33,8,8.22,6.57,8,1.6,8.17,7.5,7.33,7,7.27,5.81,7,1.4,7.21,7.69,4,2019,0,1
E5,7.33,7.66,7.33,7.44,5.95,8,1.6,7.55,7.83,8,7.33,7.72,6.17,8,1.6,7.77,7.66,4,2019,0,1
E6,7.66,8.5,8,8.05,6.44,9,1.8,8.24,7.66,8,8.33,7.99,6.39,10,2,8.39,7.83,6,2019,0,0
E7,7.33,7.66,7.66,7.55,6.04,7.5,1.5,7.54,7,7.66,8.33,7.66,6.12,10,2,8.12,9.19,6,2019,0,1
E8,8.67,9,9.33,9,7.2,10,2,9.2,8.66,9,9.33,8.99,7.19,10,2,9.19,8.37,6,2019,0,0
E9,8.66,8.33,8,8.33,6.66,10,2,8.66,8,8.33,8,8.11,6.48,8,1.6,8.08,8.54,6,2019,0,0
E10,8.33,9,8.66,8.66,6.92,10,2,8.92,8,8.66,8,8.22,6.57,8,1.6,8.17,8.03,6,2019,0,0
E11,7.66,8.33,7.5,7.83,6.26,9,1.8,8.06,7.66,8,7.66,7.77,6.21,9,1.8,8.01,8.27,6,2019,0,1
E12,7.66,7.66,7.5,7.6,6.08,9,1.8,7.88,8,8.33,8.66,8.33,6.66,10,2,8.66,8.36,6,2019,0,0
E13,7.66,7.66,7.83,7.71,6.16,9,1.8,7.96,7.83,7.33,8,7.72,6.17,8,1.6,7.77,7.86,7,2019,0,0
E14,8.16,8.66,8.33,8.38,6.7,10,2,8.7,8,8.33,8.33,8.22,6.57,8,1.6,8.17,8.43,7,2019,0,0
E15,7.33,7.66,7.5,7.49,5.99,9,1.8,7.79,7.5,7.16,7.5,7.38,5.9,7,1.4,7.3,7.54,7,2019,0,1
E16,8.66,9,8.67,8.77,7.01,10,2,9.01,9,9,9,9,7.2,9,1.8,9,9,7,2019,0,0
E17,7.66,7.66,7.5,7.6,6.08,7,1.4,7.48,7,7.66,7.5,7.38,5.9,7.5,1.5,7.4,7.44,7,2019,0,0
E18,9,9.6,9.3,9.3,7.44,9.6,1.92,9.36,9,9,9,9,7.2,9,1.8,9,9.18,4,2020,1,1
E19,9.8,9.8,9.8,9.8,7.84,9.8,1.96,9.8,9.8,9.8,9.8,9.8,7.84,9.8,1.96,9.8,9.8,4,2020,1,0
E1,7.5,7.5,7.5,7.5,6,7.5,1.5,7.5,7.56,7.45,7.503333333,7.5,6,7,1.4,7.4,7.45,5,2020,1,1
E2,8.5,9,8.75,8.75,7,9,1.8,8.8,8.33,9,8.663333333,8.66,6.92,8,1.6,8.52,8.66,5,2020,1,1
E3,7.5,7.5,7.5,7.5,6,7.5,1.5,7.5,6.86,7.25,7.053333333,7.05,5.64,7,1.4,7.04,7.27,5,2020,1,0
E4,7.5,7.5,7.5,7.5,6,8,1.6,7.6,8.25,8.98,8.613333333,8.61,6.88,9,1.8,8.68,8.14,5,2020,1,1
E5,7.5,8,7.75,7.75,6.2,8,1.6,7.8,7.92,7.88,7.9,7.9,6.32,7,1.4,7.72,7.76,5,2020,1,1
E20,7.5,7.5,7.5,7.5,6,7,1.4,7.4,7.58,7.88,7.73,7.73,6.18,7,1.4,7.58,7.49,5,2020,1,0
E6,8.25,8.25,8.25,8.25,6.6,8.25,1.65,8.25,9.46,8.75,9.103333333,9.1,7.28,8,1.6,8.88,8.56,7,2020,1,0
E7,8,8,8,8,6.4,8,1.6,8,8,7.5,7.75,7.75,6.2,7,1.4,7.6,7.8,7,2020,1,1
E8,8.25,8.25,8.25,8.25,6.6,8.25,1.65,8.25,9.45,9,9.223333333,9.22,7.37,8,1.6,8.97,8.61,7,2020,1,0
E21,9,9,9,9,7.2,9,1.8,9,10,10,10,10,8,8,1.6,9.6,9.3,7,2020,1,0
E9,8,8,8,8,6.4,8,1.6,8,9.67,9.5,9.583333333,9.58,7.66,8,1.6,9.26,8.63,7,2020,1,0
E10,8.25,8.25,8.25,8.25,6.6,8.25,1.65,8.25,8.92,8.25,8.583333333,8.58,6.86,8,1.6,8.46,8.35,7,2020,1,0
E11,7.75,7.75,7.75,7.75,6.2,7.75,1.55,7.75,7.92,7.25,7.583333333,7.58,6.06,7,1.4,7.46,7.6,7,2020,1,1
E12,7.75,7.75,7.75,7.75,6.2,7.75,1.55,7.75,9.06,8.5,8.78,8.78,7.02,8,1.6,8.62,8.18,7,2020,1,0
