ESTUDIANTES,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,PROMANIO,grado,aniolec,powtoon
E13,7.66,7.66,7.83,7.71,6.16,9,1.8,7.96,7.83,7.33,8,7.72,6.17,8,1.6,7.77,7.86,7,2019,0
E14,8.16,8.66,8.33,8.38,6.7,10,2,8.7,8,8.33,8.33,8.22,6.57,8,1.6,8.17,8.43,7,2019,0
E15,7.33,7.66,7.5,7.49,5.99,9,1.8,7.79,7.5,7.16,7.5,7.38,5.9,7,1.4,7.3,7.54,7,2019,0
E16,8.66,9,8.67,8.77,7.01,10,2,9.01,9,9,9,9,7.2,9,1.8,9,9,7,2019,0
E17,7.66,7.66,7.5,7.6,6.08,7,1.4,7.48,7,7.66,7.5,7.38,5.9,7.5,1.5,7.4,7.44,7,2019,0
E6,8.25,8.25,8.25,8.25,6.6,8.25,1.65,8.25,9.46,8.75,9.103333333,9.1,7.28,8,1.6,8.88,8.56,7,2020,1
E7,8,8,8,8,6.4,8,1.6,8,8,7.5,7.75,7.75,6.2,7,1.4,7.6,7.8,7,2020,1
E8,8.25,8.25,8.25,8.25,6.6,8.25,1.65,8.25,9.45,9,9.223333333,9.22,7.37,8,1.6,8.97,8.61,7,2020,1
E21,9,9,9,9,7.2,9,1.8,9,10,10,10,10,8,8,1.6,9.6,9.3,7,2020,1
E9,8,8,8,8,6.4,8,1.6,8,9.67,9.5,9.583333333,9.58,7.66,8,1.6,9.26,8.63,7,2020,1
E10,8.25,8.25,8.25,8.25,6.6,8.25,1.65,8.25,8.92,8.25,8.583333333,8.58,6.86,8,1.6,8.46,8.35,7,2020,1
E11,7.75,7.75,7.75,7.75,6.2,7.75,1.55,7.75,7.92,7.25,7.583333333,7.58,6.06,7,1.4,7.46,7.6,7,2020,1
E12,7.75,7.75,7.75,7.75,6.2,7.75,1.55,7.75,9.06,8.5,8.78,8.78,7.02,8,1.6,8.62,8.18,7,2020,1
