Asig,selec_1,selec_2,selec_3,selec_4,selec_5,selec_6,pGrado,dep,expd,cap,expa,area
AdministraciondeBasesdeDatos,1,0.5,0.333333333,0.25,0.2,0.166666667,1,1,4,80,2,3
AdministraciondeCentrodeInformacion,99,49.5,33,24.75,19.8,16.5,1,1,5,130,3,8
AdministraciondeSistemasOperativos,2,1,0.666666667,0.5,0.4,0.333333333,1,1,3,80,2,12
AdministraciondeSistemasOperativosAUTOR,109,54.5,36.33333333,27.25,21.8,18.16666667,1,1,4,90,2,12
AlgoritmosyEstructurasdeDatos,3,1.5,1,0.75,0.6,0.5,1,1,4,90,2,1
AnalisisyDisenodeAlgoritmos,4,2,1.333333333,1,0.8,0.666666667,1,1,4,80,2,1
AnalisisyDisenodeSistemas,5,2.5,1.666666667,1.25,1,0.833333333,1,1,5,150,4,4
AplicacionesInformaticas,102,51,34,25.5,20.4,17,1,1,4,80,2,4
AplicacionesWEB,79,39.5,26.33333333,19.75,15.8,13.16666667,1,1,4,80,2,4
ArquitecturayServiciosDistribuidos,6,3,2,1.5,1.2,1,2,1,5,120,3,7
AuditoriadeSistemasInformaticos,75,37.5,25,18.75,15,12.5,2,1,4,80,2,8
AuditoriaInformatica,121,60.5,40.33333333,30.25,24.2,20.16666667,2,1,4,80,2,8
BasesdeDatos,7,3.5,2.333333333,1.75,1.4,1.166666667,1,1,4,80,2,3
BasesdedatosAUTOR,128,64,42.66666667,32,25.6,21.33333333,1,1,4,80,2,3
Computacionenlasociedad,9,4.5,3,2.25,1.8,1.5,1,1,4,80,2,8
COMPUTACIONI,52,26,17.33333333,13,10.4,8.666666667,1,1,2,80,1,1
ComputacionII,8,4,2.666666667,2,1.6,1.333333333,1,1,2,80,1,1
ComputacionParalelayDistribuida,10,5,3.333333333,2.5,2,1.666666667,2,1,4,80,2,1
ControlyAuditoriaenlasTecnologiasdelaInformacion,11,5.5,3.666666667,2.75,2.2,1.833333333,2,1,4,80,2,8
DesarrolloBasadoenPlataformas,12,6,4,3,2.4,2,1,1,4,80,2,11
DesarrollodeaplicacionesWEB,13,6.5,4.333333333,3.25,2.6,2.166666667,1,1,4,80,2,11
Desarrollodelaunidaddeintegracioncurricular,14,7,4.666666667,3.5,2.8,2.333333333,2,1,2,80,1,5
DesarrollodeSistemasdeInformacion,15,7.5,5,3.75,3,2.5,2,1,5,100,3,11
DesarrollodeSistemasinformaticos,16,8,5.333333333,4,3.2,2.666666667,2,1,5,100,3,11
DesarrollodeTemariodeTesis,90,45,30,22.5,18,15,1,1,2,80,1,11
DisenoGrafico,77,38.5,25.66666667,19.25,15.4,12.83333333,1,1,3,80,2,2
Electricidadymagnetismo,17,8.5,5.666666667,4.25,3.4,2.833333333,1,1,4,80,2,9
ElectricidadyMagnetismoAUTOR,125,62.5,41.66666667,31.25,25,20.83333333,1,1,4,80,2,9
Escalabilidadderedes,19,9.5,6.333333333,4.75,3.8,3.166666667,2,1,5,80,3,6
"Estrategia,gestionyadquisicionenlossistemasdeinformacion",20,10,6.666666667,5,4,3.333333333,2,1,4,80,2,4
EstructurasdeDatos,21,10.5,7,5.25,4.2,3.5,1,1,3,80,2,3
EstructurasdeDatosAUTOR,110,55,36.66666667,27.5,22,18.33333333,1,1,4,80,2,3
Formulaciondeproyectosdeunidaddeintegracioncurricular,22,11,7.333333333,5.5,4.4,3.666666667,2,1,2,90,1,5
FormulacionyEvaluaciondeProyectos,93,46.5,31,23.25,18.6,15.5,2,1,4,90,2,5
FundamentosdeIngenieriadeSoftware,23,11.5,7.666666667,5.75,4.6,3.833333333,1,1,4,80,2,4
FundamentosdelasTI,81,40.5,27,20.25,16.2,13.5,1,1,2,80,1,10
FundamentosdeOfimatica,25,12.5,8.333333333,6.25,5,4.166666667,1,1,2,80,1,7
FundamentosdeProgramacion,27,13.5,9,6.75,5.4,4.5,1,1,2,80,1,1
FundamentosdeProgramacionAUTOR,124,62,41.33333333,31,24.8,20.66666667,1,1,2,80,1,1
FundamentosdeProgramacion/Introduccionalaprogamacion,26,13,8.666666667,6.5,5.2,4.333333333,1,1,2,80,1,1
FundamentosdeSistemasdeInformacion,28,14,9.333333333,7,5.6,4.666666667,1,1,2,80,1,4
Fundamentosdesistemasdigitales,69,34.5,23,17.25,13.8,11.5,1,1,2,80,1,11
FundamentosdeSistemasSigitalesAUTOR,134,67,44.66666667,33.5,26.8,22.33333333,1,1,3,80,2,11
FundamentosdeTecnologiasdelaInformacion,31,15.5,10.33333333,7.75,6.2,5.166666667,1,1,2,80,1,10
FundamentosdeTecnologiasdelaInformacionAUTOR,118,59,39.33333333,29.5,23.6,19.66666667,1,1,3,80,2,10
GestiondeProcesos,88,44,29.33333333,22,17.6,14.66666667,1,1,4,80,2,8
GestiondeProcesosdeNegociosySistemasEmpresariales,32,16,10.66666667,8,6.4,5.333333333,1,1,4,80,2,4
Gestiondeproyectosdesistemasdeinformacion,33,16.5,11,8.25,6.6,5.5,2,1,4,80,2,4
Gestion de RiesgosySeguridad enlasTecnologiasdelainformacion,34,17,11.33333333,8.5,6.8,5.666666667,2,1,4,80,2,10
HerramientasdeIVGeneracion,89,44.5,29.66666667,22.25,17.8,14.83333333,1,1,4,80,2,1
HerramientasOfimaticas,35,17.5,11.66666667,8.75,7,5.833333333,1,1,2,80,1,7
HerramientasOfimaticasAUTOR,105,52.5,35,26.25,21,17.5,1,1,2,80,1,7
InfraestructuradelasTecnologiasdelaInformacion,37,18.5,12.33333333,9.25,7.4,6.166666667,2,1,4,80,2,10
IngenieriadeInterfaces,98,49,32.66666667,24.5,19.6,16.33333333,1,1,4,80,2,4
IngenieriadeSoftware,38,19,12.66666667,9.5,7.6,6.333333333,1,1,4,80,2,4
IngenieriadeSoftwareII,87,43.5,29,21.75,17.4,14.5,1,1,4,80,2,4
InstalacionesElectricasydecableadoEstructurado,41,20.5,13.66666667,10.25,8.2,6.833333333,1,1,4,80,2,6
InstalacionesElectricasydeCableadoEstructuradoAUTOR,103,51.5,34.33333333,25.75,20.6,17.16666667,1,1,4,80,2,4
InteligenciaArtificial,42,21,14,10.5,8.4,7,2,1,4,80,2,2
InteligenciaArtificialI,84,42,28,21,16.8,14,1,1,4,80,2,2
InteligenciaArtificialII,85,42.5,28.33333333,21.25,17,14.16666667,1,1,6,150,4,2
InteligenciadeNegocios,43,21.5,14.33333333,10.75,8.6,7.166666667,2,1,4,100,2,3
InteraccionHumanoComputadorHCI,45,22.5,15,11.25,9,7.5,1,1,4,100,2,4
InterfacesdeUsuarioparaAplicacionesdeNegocios,44,22,14.66666667,11,8.8,7.333333333,1,1,4,100,2,4
IntroduccionalainvestigacionCientifica,129,64.5,43,32.25,25.8,21.5,2,1,7,120,4,5
IntroduccionalProcesamientodeDatos,76,38,25.33333333,19,15.2,12.66666667,1,1,3,80,2,8
Lenguajedeprogramacion,53,26.5,17.66666667,13.25,10.6,8.833333333,1,1,3,80,2,1
MineriadeDatos,46,23,15.33333333,11.5,9.2,7.666666667,2,1,4,100,2,3
NegociacionInformatica,82,41,27.33333333,20.5,16.4,13.66666667,1,1,6,110,4,8
NuevasTecnologiaseinnovacionensistemasdeinformacion,47,23.5,15.66666667,11.75,9.4,7.833333333,1,1,4,90,2,4
ObjetosyAbstracciondeDatos,48,24,16,12,9.6,8,1,1,4,80,2,3
Ofimatica,92,46,30.66666667,23,18.4,15.33333333,1,1,2,80,1,7
Ofimaticaadm,49,24.5,16.33333333,12.25,9.8,8.166666667,1,1,2,80,1,7
OfimaticaAplicada,50,25,16.66666667,12.5,10,8.333333333,1,1,2,80,1,7
ProcesamientodeImagenes,86,43,28.66666667,21.5,17.2,14.33333333,1,1,4,80,2,2
Programacion,80,40,26.66666667,20,16,13.33333333,1,1,6,80,4,1
ProgramacionINDUSTRIAL,54,27,18,13.5,10.8,9,1,1,6,80,4,1
ProgramacionAvanzada,51,25.5,17,12.75,10.2,8.5,1,1,6,80,4,1
ProgramacionMEC,55,27.5,18.33333333,13.75,11,9.166666667,1,1,6,80,4,1
ProgramacionOrientadaaObjetos,56,28,18.66666667,14,11.2,9.333333333,1,1,6,80,4,1
ProgramacionOrientadaaObjetosAUTOR,114,57,38,28.5,22.8,19,1,1,6,80,4,1
ProyectosInformaticos,91,45.5,30.33333333,22.75,18.2,15.16666667,1,1,4,120,2,4
Redesdecomputadoras,59,29.5,19.66666667,14.75,11.8,9.833333333,1,1,4,120,2,6
RedesdecomputadorasAUTOR,126,63,42,31.5,25.2,21,1,1,4,80,2,6
RedesInalambricas,101,50.5,33.66666667,25.25,20.2,16.83333333,1,1,4,80,2,6
RedesyComunicacion,60,30,20,15,12,10,1,1,4,80,2,6
RedesySistemasdeInformacion,94,47,31.33333333,23.5,18.8,15.66666667,1,1,4,80,2,6
SistemadeInformacionEmpresarial,61,30.5,20.33333333,15.25,12.2,10.16666667,1,1,4,80,2,4
SistemadeInformacionyBasedeDatos,63,31.5,21,15.75,12.6,10.5,1,1,4,80,2,3
SistemasdeInformacionGerencial,62,31,20.66666667,15.5,12.4,10.33333333,1,1,4,80,2,4
SistemasDigitales,72,36,24,18,14.4,12,1,1,4,80,2,11
SistemasDistribuidos,95,47.5,31.66666667,23.75,19,15.83333333,1,1,4,120,2,1
SistemasOperativos,30,15,10,7.5,6,5,1,1,4,120,2,12
SistemasOperativosAUTOR,112,56,37.33333333,28,22.4,18.66666667,1,1,4,80,2,12
Tecnologiasdeconmutacionyenrutamiento,66,33,22,16.5,13.2,11,1,1,4,120,2,9
TeoriadelaProgramacion,67,33.5,22.33333333,16.75,13.4,11.16666667,1,1,4,80,2,1
