id,	text
0,	mineria de datos
1,	Gestión de Datos y de la Información: I. Modelo conceptual de datos: 
2,	1. Modelo entidad-relación; 
3,	2. Modelo de datos orientado a objetos; 
4,	3. Gramática de modelado específico. 
5,	II. Modelo lógico de datos: 
6,	1. Modelo de datos jerárquicos; 
7,	2. Modelo de datos de red. 
8,	3. Modelo de datos relacional: 
9,	3.a) Relaciones y estructuras relacionales; 
10,	3.b) Diseño de bases de datos relacionales: 
11,	a) Del esquema conceptual al esquema relacional; 
12,	b) Normalización. 
13,	III. Modelo físico de datos: 
14,	1. Indexado; 
15,	2. Tipos de datos. 
16,	IV. Lenguajes de bases de datos: 
17,	1. SQL: LDD; LMD; y LCD.
18,	V. Administración de datos y de bases de datos.
19,	VI. Procesamiento de transacciones.
20,	VII. Uso de un sistema de gestión de bases de datos desde el entorno de desarrollo de una aplicación.
21,	VIII. Uso de un sistema de gestión de bases de datos en un contexto empresarial.
22,	IX. Arquitectura de los datos/información.
23,	IS 2010.5 Infraestructura de las Tecnologías Ecológicas
24,	La Cultura de la Información:
25,	1. Organización del almacenamiento en las redes organizacionales; 
26,	2. Centros de datos.
27,	IM/Conceptos de Gestión de la Información: 
28,	I. Sistemas de Información como Sistemas Socio Técnicos. 
29,	II. Conceptos Almacenamiento y Recuperación de Información Básica (IS&R). 
30,	III. Representación y Captura de Información. 
31,	IV. Apoyo a las necesidades humanas: búsqueda; recuperación; enlace; navegación. 
32,	V. Aplicaciones de Administración de la Información. 
33,	VI. Consultas navegacionales y declarativas; uso de enlaces. 
34,	VII. Análisis e Indexación. 
35,	VIII. Temas de calidad: con fiabilidad; escalabilidad; eficiencia y efectividad.
36,	IM/Bases de Datos Distribuidas: 
37,	I. DBMS Distribuidas: 
38,	1. Almacenamiento de datos distribuido; 
39,	2. Procesamiento de consultas distribuido; 
40,	3. Modelo de transacciones distribuidas; 
41,	4. Soluciones homogéneas y heterogéneas;
42,	5. Bases de datos distribuidas cliente-servidor. 
43,	II. Parallel DBMS: 
44,	1. Arquitecturas paralelas DBMS: memoria compartida; disco compartido; nada compartido; 
45,	2. Aceleración y ampliación; por ejemplo; el uso del modelo de procesamiento MapReduce; 
46,	3. Replicación de información y modelos de consistencia débil.
47,	IM/Minería de Datos: 
48,	I. Uso de minería de datos. 
49,	II. Algoritmos de minería de datos. 
50,	III. Patrón asociativo y secuencial. 
51,	IV. Agrupación de datos. 
52,	V. Análisis de la cesta de mercado. 
53,	VI. Limpieza de datos. 
54,	VII. Visualización de datos.
55,	IM/Sistemas Multimedia: 
56,	I. Dispositivos de entrada/salida; controladores de dispositivo; señales de control y protocolos; DSPs; 
57,	II. Estándares (Ej. audio; gráfico; video); 
58,	III. Aplicaciones; editores de media; sistemas de autoría; y autoría. 
59,	IV. Flujos/estructuras; captura/ representación/ transformarción; espacios/ dominios; compresión/ codificación. 
60,	V. Análisis basado en contenido; indexación y recuperación de audio; imágenes; animación y video. 
61,	VI. Presentación; renderización; sincronización; integración multimodal ; interfaces. 
62,	VII. Entrega en tiempo real; calidad de servicio (incluye rendimiento); capacidad de planeamiento; conferencia audio/video; video en demanda.
63,	CN/Datos; información y conocimiento:
64,	Gestión de Contenido modelos; marcos de trabajo; sistemas; métodos de diseño
65,	Representaciones digitales de contenido; incluyendo números; texto; imágenes; video; audio y animaciones
66,	Creación/captura y preservación de contenido digital; incluyendo digitalización; muestreo; compresión; conversión; transformación/traducción; migración/emulación; rastreo; recolección.
67,	Estructura de contenido/administración; incluyendo librerías digitales y aspectos por estática/dinámica/flujo
68,	Procesamiento y reconocimiento de patrones; incluyendo indexación; búsquedas; recuperación; clusterisación; clasificación/categorización; análisis/minería/extracción; renderizado/reportes; operaciones de manipulación.
69,	Apoyo / sociedad de usuario para la presentación y la interacción; incluyendo exploración; buscar; filtrar; ruta; visualizar; compartir; colaborar; tasa; anotar; personalice; recomendar.
70,	Modelado; diseño; implementación lógica y física; el uso de sistemas pertinentes / software.
71,	AR/Organización y Arquitectura del Sistema de Memoria: 
72,	I. Sistemas de Almacenamiento y su Tecnología.
73,	AR/Interfaz y comunicación: 
74,	I. Almacenamiento externo; organización física y discos. 
75,	II. Arquitecturas RAID.
76,	PD/Cloud Computing: 
77,,	I. Almacenamiento de datos en la nube: 
78,	1. Acceso compartido a data stores de consistencia débil; 
79,	2. Sincronización de datos; 
80,	3. Particionamiento de datos; 
81,	4. Sistemas de Archivos Distribuidos; 
82,	5. Replicación.
83,	SP/Privacidad y Libertades Civiles: 
84,	I. Implicaciones de privacidad de recopilación de datos generalizada de bases de datos transaccionales; almacenes de datos; sistemas de vigilancia y la computación en la nube.  
85,	Recuperación y búsqueda de información.

