id,materia
8818,MATEMATICAS DISCRETAS (A19)
8819,INTRODUCCION A LA PROGRAMACION (A19)
8820,ALGEBRA LINEAL (A19)
8821,CALCULO DE UNA VARIABLE (A19)
8822,COMUNICACIÓN Y LENGUAJE (VIRTUAL) (A19)
8823,PROGRAMACION ORIENTADA A OBJETOS (A19)
8824,FUNDAMENTOS DE SISTEMAS DE INFORMACION (A19)
8825,CALCULO DE VARIAS VARIABLES (A19)
8826,INTRODUCCION A LA INVESTIGACION CIENTIFICA (A19)
8827,OBJETOS Y ABSTRACCION DE DATOS (A19)
8828,DESARROLLO BASADO EN PLATAFORMA (A19)
8829,NUEVAS TECNOLOGIAS E INNOVACION EN SIST. DE INFOR. (A19)
8830,SISTEMAS OPERATIVOS (A19)
8831,ALGORITMOS Y ESTRUCTURAS DE DATOS (A19)
8832,BASE DE DATOS (A19)
8833,INTERFACES DE USUARIO PARA APLICACIONES DE NEGOCIOS (A19)
8834,ESTADISTICA (A19)
8835,FUNDAMENTOS DE INGENIERIA DE SOFTWARE (A19)
8836,ANALISIS Y DISEÑOS DE ALGORITMOS (A19)
8837,ADMINISTRACION DE BASE DE DATOS (A19)
8838,DESARROLLO DE SISTEMAS DE INFORMACION (A19)
8839,INGENIERIA DE SOFTWARE (A19)
8840,PROGRAMACION AVANZADA (A19)
8841,MINERIA DE DATOS (A19)
8842,ANALISIS Y DISEÑO DE SISTEMAS (A19)
8843,"REALIDAD SOCIOECONOMICA, CULTURAL Y ECOLOGICA DEL ECUADOR (VIRTUAL) (A19)"
8844,REDES Y COMUNICACIÓN (A19)
8845,COMPUTACION PARALELA Y DISTRIBUIDA (A19)
8846,INTELIGENCIA DE NEGOCIOS (A19)
8847,GESTION DE RIESGO Y SEGURIDAD EN LAS TI (A19)
8848,INFRAESTRUCTURA DE LAS TECNOLOGIAS DE LA INFORMACION (A19)
8849,INTELIGENCIA ARTIFICIAL (A19)
8850,CONTROL Y AUDITORIA EN LAS TECNOLOGIAS DE LA INFORMACION (A19)
8851,SISTEMAS DE INFORMACION GERENCIAL (A19)
8852,GESTION DE PROCESOS DE NEGOCIOS Y SISTEMAS EMPRESARIALES (A19)
8853,FORMULACION DE PROYECTO DE UNIDAD DE INTEGRACION CURRICULAR (A19)
8854,ARQUITECTURA Y SERVICIOS DISTRIBUIDOS (A19)
8855,"ESTRATEGIA, GESTION Y ADQUISION EN LOS SISTEMAS DE INFORMACION (A19)"
8856,GESTION DE PROYECTOS DE SISTEMAS DE INFORMACION (A19)
8857,COMPUTACION EN LA SOCIEDAD (A19)
8858,DESARROLLO DE LA UNIDAD DE INTEGRACION CURRICULAR (A19)
9174,ALGEBRA LINEAL (A19)
9175,FUNDAMENTOS DE PROGRAMACION (A19)
9176,FUNDAMENTOS DE TECNOLOGIAS DE LA INFORMACION (A19)
9177,CALCULO DE UNA VARIABLE (A19)
9178,FISICA I (A19)
9179,COMUNICACIÓN Y LENGUAJE (A19)
9180,MATEMATICA DISCRETA (A19)
9181,PROGRAMACION ORIENTADA A OBJETOS (A19)
9182,CALCULO DE VARIAS VARIABLES (A19)
9183,ELECTRICIDAD Y MAGNETISMO (A19)
9184,INTRODUCCION A LA INVESTIGACION CIENTIFICA (A19)
9185,ESTADISTICA (A19)
9186,ESTRUCTURAS DE DATOS (A19)
9187,INSTALACIONES ELECTRICAS Y DE CABLEADO ESTRUCTURADO (A19)
9188,SISTEMAS OPERATIVOS (A19)
9189,BASE DE DATOS (A19)
9191,INTERACCION HUMANO-COMPUTADOR (A19)
9192,SISTEMAS DIGITALES (A19)
9193,ADMINISTRACION DE SISTEMAS OPERATIVOS (A19)
9194,ADMINISTRACION DE BASE DE DATOS (A19)
9195,REDES DE COMPUTADORAS (A19)
